Time,P,Q,E,dS,DSR,DLR,USW,ULW,SH,NET
Jan-13,4.70E+00,1.22E+00,3.30E+00,1.71E-01,7.27E+00,1.37E+01,8.76E-01,1.52E+01,1.39E+00,2.47E-01
Feb-13,4.79E+00,1.24E+00,3.41E+00,1.42E-01,7.41E+00,1.38E+01,8.99E-01,1.52E+01,1.44E+00,2.49E-01
Mar-13,5.22E+00,1.49E+00,3.52E+00,2.06E-01,7.38E+00,1.38E+01,9.19E-01,1.52E+01,1.40E+00,1.32E-01
Apr-13,4.71E+00,1.53E+00,3.49E+00,-3.06E-01,7.33E+00,1.37E+01,9.19E-01,1.52E+01,1.41E+00,3.08E-02
May-13,3.43E+00,1.20E+00,3.19E+00,-9.61E-01,7.22E+00,1.34E+01,8.82E-01,1.51E+01,1.54E+00,-4.35E-02
Jun-13,2.52E+00,8.38E-01,2.74E+00,-1.05E+00,6.96E+00,1.31E+01,8.13E-01,1.50E+01,1.73E+00,-1.43E-01
Jul-13,2.43E+00,6.89E-01,2.44E+00,-6.97E-01,6.73E+00,1.31E+01,7.71E-01,1.50E+01,1.87E+00,-2.17E-01
Aug-13,2.98E+00,7.47E-01,2.46E+00,-2.28E-01,6.77E+00,1.33E+01,7.87E-01,1.51E+01,1.90E+00,-1.84E-01
Sep-13,4.00E+00,9.54E-01,2.78E+00,2.63E-01,7.02E+00,1.35E+01,8.49E-01,1.52E+01,1.77E+00,-8.45E-02
Oct-13,4.72E+00,1.33E+00,3.35E+00,3.38E-02,7.26E+00,1.37E+01,8.99E-01,1.52E+01,1.50E+00,2.87E-02
